sender_domain,sender_has_numbers,sender_domain_length,receiver_domain,domain_mismatch,subject_length,subject_num_exclamations,subject_num_caps,subject_has_spam_words,body_length,body_num_links,body_num_exclamations,body_has_spam_words,email_hour,email_day_of_week,label
iworld.de,0,9,gvc.ceas-challenge.cc,1,25,0,1,0,273,1,2,0,16.0,1.0,1
icable.ph,1,9,gvc.ceas-challenge.cc,1,22,0,3,0,82,1,0,0,18.0,1.0,1
universalnet.psi.br,1,19,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,20.0,1.0,1
pobox.com,0,9,spamassassin.apache.org,1,150,0,13,0,24418,467,4,0,17.0,1.0,0
loanofficertool.com,1,19,gvc.ceas-challenge.cc,1,26,0,4,0,175,1,0,0,19.0,1.0,1
thaidomainnames.com,0,19,gvc.ceas-challenge.cc,1,20,0,3,0,93,0,3,0,5.0,2.0,1
thebakercompanies.com,0,21,gvc.ceas-challenge.cc,1,15,0,2,0,115,0,0,0,21.0,1.0,1
tcwpg.com,1,9,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,20.0,1.0,1
issues.apache.org,0,17,spamassassin.apache.org,1,87,0,9,0,450,1,0,0,15.0,1.0,0
musicaedischi.it,1,16,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,0.0,2.0,1
flychautauqua.com,1,17,gvc.ceas-challenge.cc,1,19,0,0,0,497,1,1,1,21.0,1.0,1
gametea.com,1,11,gvc.ceas-challenge.cc,1,101,0,9,0,386,1,0,1,21.0,1.0,1
weijgers.nl,1,11,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,1.0,2.0,1
picklesmaternity.com,1,20,gvc.ceas-challenge.cc,1,20,0,5,0,3896,24,0,0,20.0,1.0,1
realskate.com,0,13,gvc.ceas-challenge.cc,1,19,0,2,0,673,1,0,0,18.0,1.0,1
sailing.ie,0,10,gvc.ceas-challenge.cc,1,37,0,8,0,2040,2,0,0,0.0,2.0,0
picklesmaternity.com,1,20,gvc.ceas-challenge.cc,1,20,0,5,0,3896,24,0,0,20.0,1.0,1
picklesmaternity.com,1,20,gvc.ceas-challenge.cc,1,20,0,5,0,3897,24,0,0,20.0,1.0,1
hotpop.com,1,10,opensuse.org,1,68,0,3,0,10830,11,3,0,15.0,1.0,0
hotpop.com,1,10,opensuse.org,1,47,0,9,0,13442,10,7,1,16.0,1.0,0
aaas-alerts.org,0,15,gvc.ceas-challenge.cc,1,28,0,7,0,1204,3,0,1,14.0,1.0,0
perl.org,0,8,netlabs.develooper.com,1,59,0,0,0,4161,0,0,0,7.0,1.0,0
list.scms.waikato.ac.nz,0,23,list.scms.waikato.ac.nz,0,33,0,4,0,865,1,0,0,18.0,1.0,0
users.sourceforge.net,0,21,python.org,1,61,0,1,0,1845,1,8,1,16.0,1.0,0
hotpop.com,1,10,opensuse.org,1,37,0,1,0,425,0,0,1,17.0,1.0,0
aamechanical.ca,0,15,gvc.ceas-challenge.cc,1,24,3,2,0,68,0,1,0,21.0,1.0,1
goline.ca,0,9,gvc.ceas-challenge.cc,1,10,0,1,0,96,1,0,0,20.0,1.0,1
hotpop.com,1,10,opensuse.org,1,26,0,3,0,3154,0,0,1,17.0,1.0,0
stfrancis.k12.mn.us,1,19,gvc.ceas-challenge.cc,1,42,0,1,0,65,1,0,0,19.0,1.0,1
gillscruisecentre.com,1,21,gvc.ceas-challenge.cc,1,34,0,4,0,567,0,1,0,5.0,2.0,1
4000down.com,1,12,gvc.ceas-challenge.cc,1,20,0,5,0,4226,24,0,0,19.0,1.0,1
cityofws.org,0,12,gvc.ceas-challenge.cc,1,17,0,1,0,267,0,1,0,18.0,1.0,1
archie.dk,0,9,gvc.ceas-challenge.cc,1,29,0,1,0,341,1,2,0,1.0,2.0,1
